,Gene Name,#PE = 1,#PE = 2,#PE = 3,#PE = 4,#PE = 5
587,ARMCX3 ,1,0,0,0,0
588,SMN1 ,0,0,0,7,0
589,NRAS ,0,1,0,0,0
590,CD209 ,0,1,0,0,0
591,LOC110260847 ,0,0,1,0,0
592,KIF13A ,0,0,6,0,0
593,WT1 ,0,1,3,0,0
594,HK1 ,4,0,0,0,0
595,TOMM7 ,0,0,1,0,0
596,NFE2L1 ,0,0,3,0,0
597,OR6V1 ,0,0,1,0,0
598,OXCT1 ,7,0,0,0,0
599,LOC102163838 ,0,0,1,0,0
600,KRTAP17-1 ,0,0,0,1,0
601,DESI1 ,0,0,2,0,0
602,ADHFE1 ,3,0,0,0,0
603,VPS11 ,1,0,0,0,0
604,TBC1D22B ,0,0,0,2,0
605,SLC13A5 ,0,0,2,0,0
606,VGF ,0,0,0,1,0
607,PDLIM7 ,3,0,0,0,0
608,ACAN ,7,0,0,0,0
609,ENY2 ,1,0,0,0,0
610,POU6F1 ,0,0,1,0,0
611,STAU2 ,9,0,0,0,0
612,PANX2 ,0,0,1,0,0
613,GULO ,0,1,1,0,0
614,PRPF8 ,1,0,0,0,0
615,ZNF114 ,0,0,0,1,0
616,ISOC2 ,3,0,0,0,0
617,GATC ,2,0,0,0,0
618,NIPAL3 ,0,0,2,0,0
619,LOC100739507 ,0,0,0,1,0
620,LOC100516627 ,0,0,1,0,0
621,CFP ,3,0,4,0,0
622,FANCE ,0,0,0,1,0
623,PSMA2 ,3,0,0,0,0
624,LOC110259080 ,0,0,1,0,0
625,GSG1 ,0,0,4,0,0
626,LGMN ,5,0,0,0,0
627,LEAP2 ,0,0,2,0,0
628,MTSS1 ,0,0,0,7,0
629,UBXN10 ,0,0,0,1,0
630,SURF2 ,0,0,0,1,0
631,ATP23 ,1,0,0,0,0
632,CRELD2 ,0,0,3,0,0
633,NHLH1 ,0,0,0,1,0
634,SGO1 ,0,0,2,0,0
635,MTERF2 ,0,0,1,0,0
636,MAD2L1BP ,0,0,0,1,0
637,MOG ,0,0,3,1,0
638,KIF13B ,1,0,0,0,0
639,MCRIP2 ,0,0,1,1,0
640,NMUR1 ,0,0,3,0,0
641,BID ,5,0,0,0,0
642,OR2D2 ,0,0,0,1,0
643,HMOX1 ,0,1,1,0,0
644,TRAPPC3 ,3,0,0,0,0
645,DYNC2LI1 ,0,0,4,0,0
646,NSL1 ,0,0,0,2,0
647,PI3 ,0,0,0,2,0
648,ZNF775 ,0,0,0,3,0
649,CCT4 ,2,0,0,0,0
650,VPS13D ,0,0,5,0,0
651,CHDH ,1,0,0,0,0
652,ABCC12 ,0,0,0,1,0
653,KLC2 ,7,0,0,3,0
654,LOC100154576 ,0,0,1,0,0
655,LOC100513868 ,3,0,0,0,0
656,USP8 ,2,0,0,0,0
657,HIPK4 ,0,0,0,1,0
658,OGDH ,7,0,0,0,0
659,SEPTIN4 ,9,0,0,0,0
660,AADAT ,3,0,0,0,0
661,ALDOA ,3,0,0,0,0
662,KLHL35 ,0,0,0,1,0
663,SEC16A ,6,0,0,0,0
664,PPEF1 ,0,0,4,0,0
665,CCDC13 ,0,0,0,1,0
666,TAF6L ,0,0,1,0,0
667,REEP1 ,9,0,1,0,0
668,BPI ,3,0,0,0,0
669,GATA2 ,0,1,0,1,0
670,LOC100153360 ,0,0,1,0,0
671,RAP2A ,1,1,0,0,0
672,CFH ,10,0,0,0,0
673,PPT1 ,3,0,0,0,0
674,POLQ ,0,0,1,0,0
675,LGR4 ,0,0,0,4,0
676,CEP76 ,0,0,2,0,0
677,BFAR ,0,0,0,6,0
678,RNH1 ,1,0,0,3,0
679,FOXF2 ,0,0,0,1,0
680,CDC5L ,1,0,0,0,0
681,LOC102161780 ,0,0,0,2,0
682,ENTPD3 ,0,0,2,0,0
683,PTPRJ ,0,0,0,4,0
684,BDKRB2 ,0,1,1,0,0
685,PSMD8 ,1,0,0,0,0
686,LOC110259009 ,0,0,1,0,0
687,MTNR1A ,0,0,2,0,0
688,GRK5 ,0,0,2,1,0
689,MORN5 ,0,0,0,4,0
690,MTHFD2 ,0,0,2,2,0
691,LRRC47 ,1,0,0,0,0
692,LOC100523732 ,0,0,0,1,0
693,SNX31 ,0,0,1,0,0
694,GMIP ,0,0,0,1,0
695,HID1 ,0,0,0,5,0
